-22157,-13755,-32839,-27205,-20408,-2232,-8120,-26438,-12478,-20550,-12357,-24389,-25155,-18105,-1599,-5818,-8775,-27460,-16453,-19012,-12609,-21314,-15034,-23107,-10682,-16569,-16825,-16196,-325,-3655,-20154,-26676,-10693,-27576,-20552,-8000,-32441,-18247,-1095,-10568,-187,-11079,-14150,-9030,-29370,-16570,-22850,-9911,-1861,-20546,-24760,-18618,-16311,-3141,-12986,-20411,-30136,-22088,-14404,-14148,-26183,-21183,-16313,-1350,-22459,-1861,-24505,-9654,-31297,-26694,-12353,-16571,-10309,-17732,-9145,-24390,-32582,-5562,-11965,-30647
-32326,-20185,-12588,-2519,-24516,-4055,-8746,-3795,-19243,-30681,-22572,-30422,-32808,-4655,-10278,-1485,-10708,-16945,-28970,-28881,-6361,-12586,-6100,-15655,-3796,-14803,-14376,-4148,-24365,-20274,-28458,-5846,-2777,-6609,-13878,-4052,-20433,-29396,-12500,-17874,-4055,-12502,-3790,-22482,-14380,-14391,-14379,-4142,-4402,-17201,-24533,-28715,-20171,-27947,-23250,-25301,-30679,-1748,-17866,-5674,-8233,-23003,-22058,-3622,-18645,-16425,-20693,-1836,-24873,-4822,-20697,-19921,-18130,-5418,-8406,-31955,-8234,-4138,-16424,-6450
-32694,-26840,-6443,-296,-26818,-29143,-13525,-10195,-17963,-20697,-6612,-12246,-16424,-2351,-20518,-24626,-22570,-20530,-554,-10191,-20441,-31018,-10283,-4312,-10452,-18644,-5672,-4297,-2092,-10700,-15658,-4054,-4313,-12240,-30920,-5332,-3537,-9685,-13013,-31276,-25383,-10536,-14641,-12077,-9259,-22074,-213,-17198,-18738,-16590,-3626,-2090,-28618,-26067,-12078,-27434,-13784,-22570,-30152,-7381,-15913,-24283,-28458,-7129,-20693,-18646,-10453,-811,-12585,-214,-17881,-4305,-211,-13269,-8150,-22482,-20693,-2773,-17448,-12595
-18191,-7131,-30935,-217,-9275,-14042,-7896,-2262,-11560,-14299,-17960,-18982,-38,-8403,-4315,-28112,-22824,-31791,-30759,-24109,-4571,-32807,-5847,-2266,-5416,-14120,-22821,-460,-22230,-2864,-30759,-3801,-5339,-32467,-22731,-24023,-6187,-2087,-6616,-3369,-12250,-19929,-16430,-14634,-28119,-23750,-8919,-13780,-6352,-5073,-21287,-18136,-5837,-26837,-26411,-1752,-6949,-2264,-14282,-15655,-22566,-5852,-28455,-2340,-295,-7641,-2264,-16424,-30246,-13350,-20187,-4308,-8745,-7975,-24281,-9940,-4824,-25895,-4058,-24271
-7911,-29915,-22569,-3290,-2360,-16858,-24871,-18472,-2087,-14116,-32552,-14553,-18725,-16340,-6436,-28626,-12328,-13267,-22567,-32554,-29916,-28376,-23592,-14043,-15319,-5846,-18394,-22991,-24362,-5165,-14887,-24537,-26843,-8149,-206,-21975,-22570,-12583,-24359,-3030,-2010,-14630,-4563,-3369,-22231,-15157,-8232,-10026,-24621,-1324,-23847,-28199,-22319,-14887,-24873,-14041,-30757,-5927,-28721,-1574,-28710,-32221,-1752,-17883,-26584,-1574,-18215,-4055,-16166,-19929,-31707,-810,-26838,-295,-8486,-20264,-1497,-10279,-24101,-14893
-10224,-26662,-30420,-20439,-1594,-27943,-27945,-811,-26325,-7974,-14036,-10198,-7896,-30511,-6181,-32817,-26666,-28463,-14633,-7981,-12325,-25897,-24874,-27609,-25556,-12844,-16344,-11724,-8237,-18382,-16597,-16681,-14298,-18898,-4810,-14379,-12077,-298,-30762,-16172,-24359,-3799,-3888,-10284,-21972,-4297,-28884,-8238,-20273,-16335,-16170,-24362,-30259,-26838,-210,-3542,-1575,-30506,-3123,-30249,-28968,-5923,-23254,-23590,-1494,-11735,-20010,-22827,-17367,-27689,-14298,-14637,-12076,-29225,-16855,-15060,-28886,-28458,-1752,-31182
-20504,-24793,-10796,-215,-14018,-8232,-24874,-4652,-7979,-18137,-30675,-2517,-12328,-4047,-6694,-12083,-5844,-22578,-26069,-304,-4057,-25045,-6444,-27352,-2259,-30931,-8151,-4150,-26925,-26675,-32469,-10197,-22489,-16431,-24887,-25044,-14544,-24276,-10708,-26066,-3543,-18390,-32818,-8402,-7724,-22329,-24020,-7632,-2252,-24370,-12757,-18644,-30921,-2259,-7889,-25130,-18648,-6356,-18376,-4394,-28630,-14298,-14378,-10534,-24277,-30761,-14805,-8492,-32470,-3882,-13094,-10449,-10029,-2005,-24534,-19922,-18218,-4565,-29911,-5940
-26672,-4901,-12246,-20775,-21308,-4134,-12584,-18474,-18217,-2853,-31017,-30936,-22824,-210,-27429,-9935,-7894,-10190,-18729,-31184,-15910,-8151,-14634,-25382,-21801,-31017,-13529,-16693,-27178,-20785,-16087,-5672,-28453,-18733,-2506,-7209,-28716,-18728,-10024,-12842,-1318,-29656,-24783,-26835,-23253,-10437,-14377,-23340,-24015,-17200,-28887,-32553,-32307,-4907,-16339,-15913,-18726,-28456,-6454,-32808,-16167,-13604,-25047,-23078,-22824,-14631,-16424,-26838,-14551,-30504,-37,-14636,-32298,-25384,-4135,-11308,-14120,-20439,-10712,-2253
-4167,-19675,-7720,-16602,-13766,-20261,-4057,-215,-12504,-30427,-2007,-4057,-22746,-26580,-2267,-7725,-4903,-26578,-24871,-30420,-17956,-20518,-24871,-18468,-9688,-14295,-11994,-11726,-30934,-26577,-5592,-28889,-10203,-24362,-18737,-20007,-14550,-22232,-27608,-17878,-30938,-10201,-22483,-27350,-4055,-28470,-32039,-8406,-6189,-28627,-10200,-20184,-5583,-3287,-18217,-26329,-18138,-16679,-9010,-18393,-31705,-14115,-2521,-26404,-28710,-31962,-23000,-19927,-7129,-18905,-7972,-24617,-22056,-21721,-26329,-6185,-32217,-1496,-9690,-4398
-12023,-27941,-31786,-14041,-711,-18214,-5847,-17877,-10198,-1754,-14293,-30423,-12326,-22226,-9765,-18479,-23081,-4141,-26664,-9259,-2779,-40,-26921,-20261,-29398,-8235,-26585,-30257,-3627,-32464,-27094,-30935,-6362,-32555,-30413,-24362,-3883,-10454,-24105,-14635,-25894,-4568,-22830,-23253,-3882,-12491,-10709,-2348,-5935,-31953,-2006,-6185,-49,-10455,-24276,-8151,-5849,-28713,-12494,-24104,-8408,-9180,-5335,-4389,-14295,-32039,-983,-16170,-30168,-28456,-6436,-8660,-2004,-20776,-1752,-27094,-30760,-22568,-10457,-26415
-31409,-22744,-12588,-22568,-20420,-6359,-6186,-3795,-19499,-30681,-14124,-24534,-20439,-4144,-14374,-7373,-1236,-16945,-10709,-21968,-5849,-23082,-4139,-10279,-8660,-14291,-27176,-11572,-22829,-11570,-23594,-2262,-14118,-12846,-14134,-11476,-26577,-27179,-4309,-24530,-14295,-2089,-9521,-32466,-24275,-13880,-14635,-14382,-20274,-10289,-28885,-15828,-8394,-26580,-18385,-24277,-24872,-24874,-18122,-3370,-11817,-17883,-24106,-550,-17877,-10281,-25557,-4140,-20777,-2006,-12761,-23505,-6610,-1834,-7977,-30931,-4138,-3370,-32808,-11314
-24359,-17446,-7125,-1495,-21565,-16935,-30678,-28883,-11819,-21030,-27093,-8489,-8151,-2000,-8153,-50,-13098,-306,-3114,-4047,-30758,-15401,-7979,-22232,-32299,-30762,-216,-29129,-9939,-32563,-4054,-10198,-16089,-30672,-12087,-28373,-20177,-30677,-26154,-13355,-8231,-1832,-4558,-9938,-12331,-1733,-24021,-6097,-10290,-31281,-16342,-9685,-7626,-32812,-466,-14378,-28711,-16681,-18487,-24022,-7977,-26660,-26409,-27097,-30250,-26152,-31529,-14037,-8150,-5417,-26662,-29138,-18131,-31530,-4311,-26413,-27177,-20182,-4311,-307
-8425,-14043,-24872,-9946,-708,-24538,-28376,-22486,-552,-24539,-10280,-38,-20697,-12499,-31963,-24623,-9944,-16175,-6951,-5933,-18907,-12583,-16599,-16346,-296,-2856,-11994,-12492,-12585,-9936,-15911,-15321,-23003,-6188,-31692,-20776,-1066,-7640,-20696,-4822,-20698,-26406,-3794,-2090,-17448,-31175,-30760,-28458,-28881,-10449,-6183,-20775,-30414,-18474,-3882,-14552,-4314,-30936,-28618,-3111,-2854,-22236,-17447,-9691,-11992,-16345,-14296,-6184,-14118,-1574,-24100,-20437,-9430,-1496,-20006,-26837,-14296,-16935,-30170,-30512
-18705,-7899,-26921,-2266,-4664,-6362,-28120,-32809,-295,-30244,-18647,-6360,-27098,-4307,-24356,-11474,-9512,-9683,-28199,-28885,-14043,-17880,-29143,-37,-40,-4393,-30426,-8399,-22314,-18989,-32551,-20953,-16091,-981,-16945,-8151,-28629,-29992,-23000,-10538,-14117,-28710,-4396,-18985,-32471,-32309,-25128,-24618,-24786,-18477,-30424,-24535,-24624,-26407,-28118,-6104,-21978,-10455,-23758,-14631,-30502,-23005,-5927,-3803,-15576,-14374,-30680,-9513,-30758,-18649,-22235,-17962,-18646,-11559,-10534,-26920,-14886,-19239,-32474,-28462
-4167,-30681,-27859,-9687,-17978,-32807,-30934,-20780,-1066,-18214,-8235,-18134,-2343,-32815,-22565,-22990,-29140,-32816,-20009,-6189,-21029,-28374,-26411,-11993,-10452,-5932,-12248,-18380,-21805,-5838,-1749,-22825,-3546,-2002,-10442,-10539,-17709,-7978,-28629,-18989,-32551,-4648,-18224,-4140,-10196,-9270,-27860,-17710,-18225,-13263,-12074,-30762,-22220,-20181,-2258,-4822,-15911,-19157,-7988,-30678,-20182,-5156,-9942,-31526,-7721,-17111,-20010,-29227,-3287,-22313,-2085,-16941,-18988,-31702,-10454,-3540,-14038,-31018,-12839,-31281
-20504,-32806,-12331,-215,-13250,-12840,-22741,-8237,-22827,-30681,-18899,-213,-1751,-15823,-8409,-12339,-555,-26930,-28970,-9680,-8486,-32810,-5844,-22488,-4051,-20179,-5335,-7881,-16685,-30156,-28628,-18133,-22233,-16687,-21047,-28715,-23505,-30676,-18132,-16338,-11991,-6102,-26317,-302,-21036,-27705,-12244,-7632,-4403,-31437,-8148,-30420,-32310,-14123,-3281,-21034,-20952,-724,-14536,-11562,-24361,-475,-18730,-16422,-24789,-20777,-8661,-4140,-30761,-7126,-26662,-8657,-9005,-14634,-29398,-16850,-27178,-1066,-27351,-3636
-6626,-12250,-26582,-4647,-4924,-10201,-2263,-4138,-6441,-14298,-16937,-16167,-8231,-18386,-8485,-26831,-22742,-27086,-4649,-16175,-2597,-25559,-4309,-6182,-2345,-14633,-28377,-4149,-4650,-7217,-31191,-11223,-11813,-8146,-18634,-10454,-7980,-40,-3799,-298,-18649,-16679,-16943,-20267,-28713,-26566,-10454,-3628,-19248,-2863,-20264,-14120,-14643,-22484,-32300,-5335,-2086,-11816,-8137,-16680,-8231,-219,-26408,-8485,-7976,-5592,-2088,-21801,-28455,-15143,-18394,-723,-11306,-13864,-14552,-6355,-1320,-26920,-32806,-16590
-2368,-14043,-808,-24282,-16326,-18213,-10457,-1751,-8664,-31195,-4055,-5849,-28634,-24532,-13275,-2093,-9944,-30765,-18982,-29140,-13092,-14374,-20775,-16676,-295,-16343,-12762,-18126,-22313,-32813,-5849,-30681,-17627,-27434,-24113,-14375,-14294,-23768,-26840,-21718,-31194,-9945,-22739,-29910,-40,-26678,-32472,-16341,-1325,-30931,-12248,-26840,-12751,-215,-17961,-28633,-12250,-4135,-6706,-23769,-30937,-10531,-9433,-25636,-25126,-31781,-25305,-27095,-12505,-23001,-3876,-22057,-17960,-25049,-31014,-3112,-29734,-5593,-24026,-5166
-5855,-24357,-28885,-4312,-19000,-12326,-10280,-4053,-5417,-4058,-6442,-19927,-26662,-20434,-10021,-16687,-32470,-18222,-28200,-13867,-2523,-2007,-26665,-27173,-28630,-299,-17881,-20430,-2003,-30672,-12502,-28712,-2011,-20692,-14028,-28629,-4051,-12758,-14633,-16171,-24102,-18215,-22225,-12756,-213,-2100,-2602,-14636,-27951,-20433,-2262,-26665,-3889,-40,-18132,-6103,-7974,-20182,-13517,-21800,-16600,-12252,-8919,-17701,-6103,-24280,-4137,-16938,-24792,-30760,-18980,-9172,-2260,-19496,-13863,-18902,-28375,-28713,-8742,-24623
-30895,-16600,-6700,-18135,-14019,-11735,-4394,-8147,-20523,-24537,-12588,-16598,-8151,-2096,-18982,-6093,-5931,-16433,-2261,-14032,-10201,-26666,-14123,-10279,-5675,-18131,-26583,-20021,-20781,-2354,-26666,-726,-15142,-30766,-16438,-9940,-32814,-26410,-469,-24786,-20695,-12329,-10289,-28626,-11987,-20280,-16683,-26414,-28978,-7217,-30933,-2516,-4149,-26324,-16081,-28117,-30504,-29397,-20937,-6186,-18473,-20443,-29226,-729,-18645,-7721,-24277,-4140,-21545,-6697,-12505,-23505,-4306,-6101,-14377,-31699,-2858,-1237,-26583,-13619
-9967,-5926,-24277,-10199,-22333,-17959,-24534,-24531,-10539,-9510,-27861,-1577,-8151,-16336,-1318,-50,-3797,-461,-14378,-8655,-24614,-2345,-2260,-25816,-27435,-24106,-10456,-20534,-28971,-29234,-9942,-12502,-20441,-22319,-1993,-16682,-27949,-22313,-13865,-12075,-4824,-16343,-49,-11730,-5931,-5829,-32554,-24530,-9677,-24113,-22742,-19413,-8394,-20780,-14802,-5674,-26663,-2601,-10295,-28118,-214,-24868,-25641,-31014,-20009,-12072,-30505,-31189,-14294,-726,-28710,-28973,-30420,-24362,-2519,-16941,-24617,-28374,-40,-7884
-7911,-17371,-22824,-19162,-3780,-26330,-26840,-26326,-40,-22491,-6184,-7897,-28121,-14291,-27172,-22574,-22488,-11055,-8487,-2093,-22747,-4135,-20695,-16602,-5847,-40,-7642,-15820,-5929,-10960,-15143,-12761,-30244,-8235,-32307,-19495,-4821,-8152,-29144,-6614,-20186,-32294,-11730,-1749,-296,-32455,-24616,-24618,-28369,-12241,-3879,-16679,-26318,-14122,-2090,-8152,-6874,-17959,-32820,-550,-38,-24796,-12327,-15835,-14296,-18649,-12248,-296,-13862,-1062,-18212,-21205,-13782,-5080,-8230,-31189,-17112,-15655,-26586,-30256
-18448,-5668,-26326,-11737,-21560,-37,-24792,-22742,-12072,-18395,-15830,-8152,-20698,-6611,-26075,-5678,-20520,-5676,-30503,-28373,-14043,-18392,-32471,-37,-14888,-7721,-24538,-6448,-32554,-15405,-32807,-10713,-15323,-4138,-18737,-8232,-16597,-22231,-8407,-18474,-17701,-32473,-16685,-32470,-20777,-27595,-21033,-27861,-18385,-26669,-11480,-22743,-23600,-24536,-30677,-2343,-16602,-6359,-21966,-16679,-28710,-18397,-4391,-5156,-10200,-26662,-16600,-10281,-26150,-12505,-16091,-32469,-8405,-13863,-12582,-26583,-16423,-27943,-26330,-27694
-12537,-31449,-7635,-8151,-23610,-30759,-22742,-12076,-2858,-18470,-13867,-4310,-10535,-12240,-22566,-28110,-12244,-21967,-28629,-17966,-19237,-30166,-30251,-9945,-22740,-16684,-4056,-5068,-6445,-18382,-13013,-31017,-218,-7890,-1845,-24363,-12077,-2090,-22229,-20781,-31960,-20521,-32560,-20012,-5588,-10294,-18132,-32814,-30513,-1328,-18474,-24277,-11979,-16085,-15917,-470,-16423,-2517,-4660,-29142,-32553,-14371,-2006,-25561,-1578,-6103,-26666,-32468,-17622,-30761,-1754,-22061,-26668,-30934,-6870,-7467,-12246,-29397,-22824,-24526
